case,iter,ms,bytes,notes
decaps,394,26.2823,0,""
encaps,395,19.199,0,""
decaps,395,26.219,0,""
encaps,396,19.4218,0,""
decaps,396,26.4343,0,""
encaps,397,19.3305,0,""
decaps,397,26.3394,0,""
encaps,398,19.1321,0,""
decaps,398,26.1877,0,""
encaps,399,19.2013,0,""
decaps,399,26.2346,0,""
encaps,400,19.2984,0,""
decaps,400,26.2395,0,""
encaps,401,19.2529,0,""
decaps,401,26.5102,0,""
encaps,402,19.2762,0,""
decaps,402,26.2285,0,""
encaps,403,19.3373,0,""
decaps,403,26.3298,0,""
encaps,404,19.3636,0,""
decaps,404,26.2882,0,""
encaps,405,19.169,0,""
decaps,405,26.3071,0,""
encaps,406,19.2934,0,""
decaps,406,26.3055,0,""
encaps,407,19.2652,0,""
decaps,407,26.3153,0,""
encaps,408,19.4117,0,""
decaps,408,26.3438,0,""
encaps,409,19.5577,0,""
decaps,409,31.8013,0,""
encaps,410,19.2544,0,""
decaps,410,26.1796,0,""
encaps,411,19.2673,0,""
decaps,411,26.1374,0,""
encaps,412,19.2225,0,""
decaps,412,26.2189,0,""
encaps,413,19.3238,0,""
decaps,413,26.2099,0,""
encaps,414,19.2445,0,""
decaps,414,26.1833,0,""
encaps,415,19.3189,0,""
decaps,415,31.8938,0,""
encaps,416,19.2289,0,""
decaps,416,26.0671,0,""
encaps,417,19.3297,0,""
decaps,417,26.4527,0,""
encaps,418,19.3378,0,""
decaps,418,26.1986,0,""
encaps,419,19.3809,0,""
decaps,419,26.4353,0,""
encaps,420,19.4428,0,""
decaps,420,26.3433,0,""
encaps,421,19.2572,0,""
decaps,421,26.2684,0,""
encaps,422,19.2769,0,""
decaps,422,26.3012,0,""
encaps,423,19.3233,0,""
decaps,423,26.5897,0,""
encaps,424,19.399,0,""
decaps,424,26.3624,0,""
encaps,425,19.2748,0,""
decaps,425,26.2703,0,""
encaps,426,19.314,0,""
decaps,426,26.319,0,""
encaps,427,19.3053,0,""
decaps,427,26.206,0,""
encaps,428,19.2676,0,""
decaps,428,26.2907,0,""
encaps,429,19.4239,0,""
decaps,429,26.4132,0,""
encaps,430,19.5695,0,""
decaps,430,26.3847,0,""
encaps,431,19.2995,0,""
decaps,431,26.2141,0,""
encaps,432,19.3763,0,""
decaps,432,26.2174,0,""
encaps,433,19.4843,0,""
decaps,433,26.3419,0,""
encaps,434,19.447,0,""
decaps,434,26.3112,0,""
encaps,435,19.3181,0,""
decaps,435,26.3028,0,""
encaps,436,19.4099,0,""
decaps,436,26.5124,0,""
encaps,437,22.8302,0,""
decaps,437,26.3169,0,""
encaps,438,19.1687,0,""
decaps,438,26.2795,0,""
encaps,439,19.3526,0,""
decaps,439,26.4897,0,""
encaps,440,19.4448,0,""
decaps,440,26.4826,0,""
encaps,441,19.3778,0,""
decaps,441,26.1925,0,""
encaps,442,19.2755,0,""
decaps,442,26.3984,0,""
encaps,443,19.4062,0,""
decaps,443,26.402,0,""
encaps,444,19.5435,0,""
decaps,444,26.4445,0,""
encaps,445,19.5467,0,""
decaps,445,26.3181,0,""
encaps,446,19.4196,0,""
decaps,446,26.3027,0,""
encaps,447,19.3503,0,""
decaps,447,26.7426,0,""
encaps,448,19.4909,0,""
decaps,448,26.2627,0,""
encaps,449,19.4483,0,""
decaps,449,26.4592,0,""
encaps,450,19.3878,0,""
decaps,450,26.6128,0,""
encaps,451,19.4731,0,""
decaps,451,26.6624,0,""
encaps,452,19.6364,0,""
decaps,452,26.5529,0,""
encaps,453,19.4613,0,""
decaps,453,26.6769,0,""
encaps,454,19.5906,0,""
decaps,454,26.6254,0,""
encaps,455,19.5755,0,""
decaps,455,26.5721,0,""
encaps,456,19.5782,0,""
decaps,456,26.5047,0,""
encaps,457,19.7034,0,""
decaps,457,26.733,0,""
encaps,458,19.6588,0,""
decaps,458,29.8218,0,""
encaps,459,19.3502,0,""
decaps,459,26.3958,0,""
encaps,460,19.4021,0,""
decaps,460,26.5467,0,""
encaps,461,19.5451,0,""
decaps,461,26.6166,0,""
encaps,462,19.4845,0,""
decaps,462,26.6567,0,""
encaps,463,19.7204,0,""
decaps,463,26.6562,0,""
encaps,464,19.519,0,""
decaps,464,26.6119,0,""
encaps,465,19.4919,0,""
decaps,465,26.5952,0,""
encaps,466,19.5465,0,""
